Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)						
758	116,8	758	154						
759	116,9	759	155						
760	116,9	760	156						
761	117	761	156						
762	117	762	155						
763	117	763	156						
764	117	764	156						
765	117	765	156						
766	117,1	766	156						
767	117,1	767	156						
768	117,1	768	157						
769	117,1	769	158						
770	117,3	770	158						
771	117,3	771	158						
772	117,4	772	158						
773	117,4	773	158						
774	117,5	774	158						
775	117,5	775	158						
776	117,5	776	158						
777	117,5	777	159						
778	117,5	778	159						
779	117,5	779	160						
780	117,6	780	160						
781	117,6	781	161						
782	117,8	782	161						
783	117,8	783	160						
784	117,9	784	160						
785	117,9	785	159						
786	118	786	160						
787	118	787	160						
788	118	788	161						
789	118	789	162						
790	118	790	163						
791	118,1	791	163						
792	118,1	792	163						
793	118,3	793	163						
794	118,3	794	161						
795	118,3	795	159						
796	118,3	796	159						
797	118,3	797	160						
798	118,3	798	159						
799	118,3	799	158						
800	118,3	800	158						
801	118,3	801	158						
802	118,3	802	158						
803	118,3	803	157						
804	118,1	804	157						
805	118,1	805	156						
806	118	806	157						
807	118	807	158						
808	118	808	157						
809	118	809	158						
810	118	810	160						
811	118	811	160						
812	117,9	812	160						
813	118	813	160						
814	117,9	814	160						
815	118	815	161						
816	118	816	161						
817	118	817	163						
818	118	818	163						
819	118	819	163						
820	118	820	163						
821	118	821	164						
822	118,1	822	164						
823	118,3	823	163						
824	118,3	824	162						
825	118,4	825	162						
826	118,4	826	164						
827	118,5	827	165						
828	118,5	828	165						
829	118,5	829	165						
830	118,6	830	166						
831	118,6	831	165						
832	118,8	832	165						
833	118,8	833	165						
834	118,9	834	165						
835	118,9	835	164						
836	118,9	836	165						
837	119	837	165						
838	119	838	166						
839	119	839	168						
840	119	840	167						
841	119,1	841	168						
842	119,1	842	169						
843	119,3	843	168						
844	119,3	844	167						
845	119,3	845	166						
846	119,4	846	167						
847	119,4	847	168						
848	119,5	848	168						
849	119,5	849	168						
850	119,5	850	169						
851	119,5	851	169						
852	119,6	852	170						
853	119,6	853	170						
854	119,8	854	170						
855	119,8	855	168						
856	119,9	856	168						
857	119,9	857	169						
858	119,9	858	169						
859	119,9	859	170						
860	120	860	169						
861	120	861	168						
862	120	862	167						
863	120	863	165						
864	120	864	165						
865	119,9	865	164						
866	119,9	866	163						
867	119,8	867	164						
868	119,8	868	164						
869	119,6	869	165						
870	119,6	870	166						
871	119,5	871	165						
872	119,5	872	164						
873	119,5	873	165						
874	119,5	874	164						
875	119,4	875	163						
876	119,4	876	163						
877	119,3	877	164						
878	119,3	878	165						
879	119,3	879	166						
880	119,3	880	166						
881	119,3	881	167						
882	119,3	882	167						
883	119,4	883	167						
884	119,4	884	167						
885	119,4	885	167						
886	119,5	886	168						
887	119,5	887	169						
888	119,5	888	170						
889	119,5	889	170						
890	119,6	890	169						
891	119,6	891	170						
892	119,8	892	170						
893	119,8	893	171						
894	119,9	894	170						
895	119,9	895	170						
896	120	896	170						
897	120	897	170						
898	120	898	171						
899	120	899	171						
900	120	900	172						
901	120,1	901	172						
902	120,1	902	173						
903	120,1	903	173						
904	120,3	904	172						
905	120,3	905	171						
906	120,3	906	173						
907	120,4	907	172						
908	120,4	908	172						
909	120,4	909	173						
910	120,5	910	174						
911	120,5	911	174						
912	120,5	912	174						
913	120,5	913	174						
914	120,5	914	173						
915	120,5	915	173						
916	120,5	916	173						
917	120,5	917	174						
918	120,5	918	174						
919	120,6	919	174						
920	120,6	920	174						
921	120,6	921	175						
922	120,8	922	175						
923	120,8	923	174						
924	120,8	924	174						
925	120,9	925	174						
926	120,9	926	174						
927	120,9	927	173						
928	120,9	928	173						
929	120,9	929	172						
930	120,8	930	170						
931	120,8	931	169						
932	120,8	932	167						
933	120,6	933	167						
934	120,6	934	166						
935	120,5	935	165						
936	120,5	936	164						
937	120,4	937	166						
938	120,4	938	167						
939	120,3	939	168						
940	120,1	940	169						
941	120,1	941	169						
942	120,1	942	169						
943	120	943	170						
944	120	944	169						
945	120	945	169						
946	120	946	170						
947	120	947	170						
948	120	948	170						
949	120	949	171						
950	120	950	171						
951	120	951	172						
952	120,1	952	173						
953	120,3	953	174						
954	120,3	954	174						
955	120,4	955	174						
956	120,4	956	173						
957	120,5	957	173						
958	120,5	958	175						
959	120,5	959	175						
960	120,5	960	175						
961	120,6	961	176						
962	120,6	962	176						
963	120,8	963	175						
964	120,8	964	174						
965	120,9	965	174						
966	120,9	966	174						
967	121	967	175						
968	121	968	176						
969	121	969	177						
970	121	970	177						
971	121	971	177						
972	121	972	176						
973	121	973	177						
974	121,1	974	177						
975	121,1	975	177						
976	121,1	976	177						
977	121,1	977	177						
978	121,3	978	177						
979	121,3	979	176						
980	121,3	980	176						
981	121,3	981	177						
982	121,3	982	177						
983	121,4	983	177						
984	121,4	984	176						
985	121,4	985	175						
986	121,4	986	176						
987	121,4	987	178						
988	121,4	988	178						
989	121,4	989	178						
990	121,4	990	178						
991	121,5	991	177						
992	121,5	992	176						
993	121,5	993	176						
994	121,5	994	177						
995	121,5	995	177						
996	121,5	996	177						
997	121,5	997	178						
998	121,5	998	178						
999	121,5	999	177						
1000	121,5	1000	177						
1001	121,5	1001	177						
1002	121,5	1002	177						
1003	121,5	1003	177						
1004	121,5	1004	176						
1005	121,5	1005	176						
1006	121,5	1006	176						
1007	121,5	1007	177						
1008	121,5	1008	177						
1009	121,5	1009	177						
1010	121,5	1010	178						
1011	121,5	1011	178						
1012	121,5	1012	177						
1013	121,5	1013	177						
1014	121,5	1014	176						
1015	121,5	1015	175						
1016	121,5	1016	177						
1017	121,5	1017	178						
1018	121,5	1018	178						
1019	121,5	1019	177						
1020	121,5	1020	176						
1021	121,5	1021	176						
1022	121,5	1022	176						
1023	121,5	1023	177						
1024	121,5	1024	176						
1025	121,5	1025	175						
1026	121,5	1026	176						
1027	121,5	1027	177						
1028	121,5	1028	177						
1029	121,5	1029	177						
1030	121,5	1030	177						
1031	121,5	1031	177						
1032	121,5	1032	177						
1033	121,5	1033	176						
1034	121,5	1034	176						
1035	121,5	1035	175						
1036	121,5	1036	175						
1037	121,5	1037	175						
1038	121,5	1038	177						
1039	121,5	1039	177						
1040	121,5	1040	177						
1041	121,5	1041	177						
1042	121,5	1042	177						
1043	121,5	1043	177						
1044	121,5	1044	176						
1045	121,5	1045	176						
1046	121,5	1046	176						
1047	121,5	1047	176						
1048	121,5	1048	177						
1049	121,5	1049	177						
1050	121,5	1050	177						
1051	121,5	1051	177						
1052	121,5	1052	177						
1053	121,5	1053	177						
1054	121,5	1054	176						
1055	121,5	1055	176						
1056	121,5	1056	177						
1057	121,5	1057	178						
1058	121,5	1058	177						
1059	121,5	1059	177						
1060	121,5	1060	177						
1061	121,5	1061	177						
1062	121,5	1062	177						
1063	121,5	1063	177						
1064	121,5	1064	176						
1065	121,5	1065	176						
1066	121,5	1066	176						
1067	121,5	1067	177						
1068	121,5	1068	178						
1069	121,5	1069	178						
1070	121,5	1070	177						
1071	121,5	1071	176						
1072	121,5	1072	176						
1073	121,5	1073	176						
1074	121,5	1074	176						
1075	121,5	1075	177						
1076	121,5	1076	177						
1077	121,5	1077	177						
1078	121,5	1078	178						
1079	121,5	1079	177						
1080	121,5	1080	177						
1081	121,5	1081	177						
1082	121,5	1082	177						
1083	121,5	1083	177						
1084	121,5	1084	176						
1085	121,5	1085	176						
1086	121,5	1086	176						
1087	121,5	1087	176						
1088	121,5	1088	177						
1089	121,5	1089	178						
1090	121,5	1090	178						
1091	121,5	1091	178						
1092	121,5	1092	178						
1093	121,5	1093	177						
1094	121,5	1094	177						
1095	121,5	1095	177						
1096	121,5	1096	177						
1097	121,5	1097	177						
1098	121,5	1098	176						
1099	121,5	1099	177						
1100	121,5	1100	177						
1101	121,6	1101	177						
1102	121,6	1102	177						
1103	121,6	1103	176						
1104	121,6	1104	176						
1105	121,5	1105	176						
1106	121,6	1106	176						
1107	121,5	1107	177						
1108	121,5	1108	178						
1109	121,5	1109	178						
1110	121,5	1110	177						
1111	121,5	1111	177						
1112	121,5	1112	177						
1113	121,5	1113	176						
1114	121,5	1114	175						
1115	121,5	1115	175						
1116	121,5	1116	177						
1117	121,5	1117	177						
1118	121,5	1118	177						
1119	121,5	1119	178						
1120	121,5	1120	177						
1121	121,5	1121	177						
1122	121,5	1122	177						
1123	121,5	1123	177						
1124	121,5	1124	176						
1125	121,5	1125	176						
1126	121,5	1126	176						
1127	121,5	1127	177						
1128	121,5	1128	177						
1129	121,5	1129	177						
1130	121,5	1130	177						
1131	121,5	1131	177						
1132	121,5	1132	176						
1133	121,5	1133	177						
1134	121,5	1134	177						
1135	121,5	1135	177						
1136	121,5	1136	177						
1137	121,5	1137	178						
1138	121,5	1138	177						
1139	121,5	1139	178						
1140	121,5	1140	178						
1141	121,5	1141	177						
1142	121,5	1142	177						
1143	121,5	1143	177						
1144	121,5	1144	178						
1145	121,5	1145	177						
1146	121,5	1146	177						
1147	121,5	1147	177						
1148	121,5	1148	176						
1149	121,5	1149	176						
1150	121,5	1150	176						
1151	121,5	1151	177						
1152	121,5	1152	177						
1153	121,5	1153	178						
1154	121,5	1154	177						
1155	121,5	1155	177						
1156	121,5	1156	178						
1157	121,5	1157	178						
1158	121,5	1158	178						
1159	121,5	1159	178						
1160	121,5	1160	177						
1161	121,5	1161	178						
1162	121,5	1162	177						
1163	121,6	1163	178						
1164	121,6	1164	177						
1165	121,5	1165	177						
1166	121,5	1166	177						
1167	121,5	1167	177						
1168	121,5	1168	178						
1169	121,5	1169	178						
1170	121,5	1170	178						
1171	121,5	1171	177						
1172	121,5	1172	177						
1173	121,5	1173	177						
1174	121,5	1174	177						
1175	121,5	1175	177						
1176	121,5	1176	178						
1177	121,5	1177	178						
1178	121,5	1178	178						
1179	121,5	1179	177						
1180	121,5	1180	178						
1181	121,5	1181	178						
1182	121,5	1182	178						
1183	121,5	1183	177						
1184	121,5	1184	177						
1185	121,5	1185	177						
1186	121,5	1186	177						
1187	121,5	1187	177						
1188	121,5	1188	177						
1189	121,5	1189	177						
1190	121,5	1190	177						
1191	121,5	1191	176						
1192	121,5	1192	176						
1193	121,5	1193	177						
1194	121,5	1194	178						
1195	121,5	1195	177						
1196	121,5	1196	177						
1197	121,5	1197	178						
1198	121,5	1198	179						
1199	121,5	1199	179						
1200	121,5	1200	178						
1201	121,5	1201	178						
1202	121,5	1202	178						
1203	121,5	1203	177						
1204	121,5	1204	177						
1205	121,5	1205	177						
1206	121,5	1206	177						
1207	121,5	1207	178						
1208	121,5	1208	178						
1209	121,5	1209	178						
1210	121,5	1210	178						
1211	121,5	1211	179						
1212	121,5	1212	179						
1213	121,5	1213	178						
1214	121,5	1214	178						
1215	121,5	1215	177						
1216	121,5	1216	178						
1217	121,5	1217	178						
1218	121,5	1218	177						
1219	121,5	1219	178						
1220	121,5	1220	177						
1221	121,5	1221	178						
1222	121,5	1222	178						
1223	121,5	1223	178						
1224	121,5	1224	178						
1225	121,5	1225	177						
