Time - Temeperatura (°C)	Temperatura (°C) & Presión (kPa) - Temeperatura (°C)	Time - Presión (kPa)	Temperatura (°C) & Presión (kPa) - Presión (kPa)			
1202	105,3	1202	103			
1203	105,3	1203	103			
1204	105,4	1204	103			
1205	105,5	1205	104			
1206	105,5	1206	104			
1207	105,5	1207	105			
1208	105,6	1208	105			
1209	105,6	1209	105			
1210	105,8	1210	105			
1211	105,9	1211	105			
1212	105,9	1212	105			
1213	106	1213	105			
1214	106	1214	105			
1215	106	1215	106			
1216	106,1	1216	107			
1217	106,1	1217	107			
1218	106,3	1218	107			
1219	106,3	1219	108			
1220	106,4	1220	108			
1221	106,5	1221	107			
1222	106,5	1222	106			
1223	106,5	1223	107			
1224	106,5	1224	107			
1225	106,6	1225	108			
1226	106,8	1226	108			
1227	106,8	1227	108			
1228	106,9	1228	108			
1229	107	1229	108			
