WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="15D", group="280", value="     1"
WARNING (016584): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016592): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016600): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016608): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016616): XRECORD object group 140 unknown/not supported - ignored.
WARNING (016624): XRECORD object group 140 unknown/not supported - ignored.
WARNING (016632): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016640): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016644): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016652): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016660): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016668): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016672): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016680): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016688): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016696): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016704): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016712): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016720): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016728): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016732): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016740): XRECORD object group 140 unknown/not supported - ignored.
WARNING (016748): XRECORD object group 90 unknown/not supported - ignored.
WARNING (016756): XRECORD object group 1 unknown/not supported - ignored.
WARNING (016764): XRECORD object group 280 unknown/not supported - ignored.
WARNING (016772): XRECORD object group 140 unknown/not supported - ignored.
WARNING (016780): XRECORD object group 140 unknown/not supported - ignored.
WARNING (017576): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017584): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017592): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017600): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017608): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017616): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017624): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017632): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017640): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017648): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017656): XRECORD object group 140 unknown/not supported - ignored.
WARNING (017664): XRECORD object group 140 unknown/not supported - ignored.
WARNING (017672): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017680): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017684): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017692): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017700): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017708): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017712): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017720): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017728): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017736): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017744): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017752): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017760): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017768): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017772): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017780): XRECORD object group 140 unknown/not supported - ignored.
WARNING (017788): XRECORD object group 90 unknown/not supported - ignored.
WARNING (017796): XRECORD object group 1 unknown/not supported - ignored.
WARNING (017804): XRECORD object group 280 unknown/not supported - ignored.
WARNING (017812): XRECORD object group 140 unknown/not supported - ignored.
WARNING (017820): XRECORD object group 140 unknown/not supported - ignored.
WARNING (018616): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018624): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018632): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018640): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018648): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018656): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018664): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018672): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018680): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018688): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018696): XRECORD object group 140 unknown/not supported - ignored.
WARNING (018704): XRECORD object group 140 unknown/not supported - ignored.
WARNING (018712): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018720): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018724): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018732): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018740): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018748): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018752): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018760): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018768): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018776): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018784): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018792): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018800): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018808): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018812): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018820): XRECORD object group 140 unknown/not supported - ignored.
WARNING (018828): XRECORD object group 90 unknown/not supported - ignored.
WARNING (018836): XRECORD object group 1 unknown/not supported - ignored.
WARNING (018844): XRECORD object group 280 unknown/not supported - ignored.
WARNING (018852): XRECORD object group 140 unknown/not supported - ignored.
WARNING (018860): XRECORD object group 140 unknown/not supported - ignored.
WARNING (019656): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019664): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019672): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019680): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019688): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019696): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019704): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019712): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019720): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019728): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019736): XRECORD object group 140 unknown/not supported - ignored.
WARNING (019744): XRECORD object group 140 unknown/not supported - ignored.
WARNING (019752): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019760): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019764): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019772): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019780): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019788): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019792): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019800): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019808): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019816): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019824): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019832): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019840): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019848): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019852): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019860): XRECORD object group 140 unknown/not supported - ignored.
WARNING (019868): XRECORD object group 90 unknown/not supported - ignored.
WARNING (019876): XRECORD object group 1 unknown/not supported - ignored.
WARNING (019884): XRECORD object group 280 unknown/not supported - ignored.
WARNING (019892): XRECORD object group 140 unknown/not supported - ignored.
WARNING (019900): XRECORD object group 140 unknown/not supported - ignored.
WARNING (020696): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020704): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020712): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020720): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020728): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020736): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020744): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020752): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020760): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020768): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020776): XRECORD object group 140 unknown/not supported - ignored.
WARNING (020784): XRECORD object group 140 unknown/not supported - ignored.
WARNING (020792): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020800): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020804): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020812): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020820): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020828): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020832): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020840): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020848): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020856): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020864): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020872): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020880): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020888): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020892): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020900): XRECORD object group 140 unknown/not supported - ignored.
WARNING (020908): XRECORD object group 90 unknown/not supported - ignored.
WARNING (020916): XRECORD object group 1 unknown/not supported - ignored.
WARNING (020924): XRECORD object group 280 unknown/not supported - ignored.
WARNING (020932): XRECORD object group 140 unknown/not supported - ignored.
WARNING (020940): XRECORD object group 140 unknown/not supported - ignored.
WARNING (021736): XRECORD object group 280 unknown/not supported - ignored.
WARNING (021744): XRECORD object group 280 unknown/not supported - ignored.
WARNING (021752): XRECORD object group 280 unknown/not supported - ignored.
WARNING (021760): XRECORD object group 280 unknown/not supported - ignored.
WARNING (021768): XRECORD object group 280 unknown/not supported - ignored.
WARNING (021776): XRECORD object group 280 unknown/not supported - ignored.
WARNING (021784): XRECORD object group 280 unknown/not supported - ignored.
WARNING (021792): XRECORD object group 280 unknown/not supported - ignored.
WARNING (021800): XRECORD object group 280 unknown/not supported - ignored.
WARNING (021808): XRECORD object group 90 unknown/not supported - ignored.
WARNING (021816): XRECORD object group 140 unknown/not supported - ignored.
WARNING (021824): XRECORD object group 140 unknown/not supported - ignored.
WARNING (021832): XRECORD object group 90 unknown/not supported - ignored.
WARNING (021840): XRECORD object group 90 unknown/not supported - ignored.
WARNING (021844): XRECORD object group 90 unknown/not supported - ignored.
WARNING (021852): XRECORD object group 90 unknown/not supported - ignored.
WARNING (021860): XRECORD object group 90 unknown/not supported - ignored.
WARNING (021868): XRECORD object group 90 unknown/not supported - ignored.
